File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD1_14031279.jpg,2022/08/30 14:03:13:1881,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD2_14031420.jpg,2022/08/30 14:03:14:4198,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD3_14031537.jpg,2022/08/30 14:03:15:5678,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD4_14031651.jpg,2022/08/30 14:03:16:7137,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD5_14031766.jpg,2022/08/30 14:03:17:8596,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD6_14031882.jpg,2022/08/30 14:03:19:0195,1,0,1,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD7_14031997.jpg,2022/08/30 14:03:20:1715,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD8_14032112.jpg,2022/08/30 14:03:21:3244,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD9_14032227.jpg,2022/08/30 14:03:22:4683,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD10_14032341.jpg,2022/08/30 14:03:23:6073,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD11_14032455.jpg,2022/08/30 14:03:24:7482,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD12_14032567.jpg,2022/08/30 14:03:25:9360,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD13_14032700.jpg,2022/08/30 14:03:27:2206,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD14_14032835.jpg,2022/08/30 14:03:28:5401,0,0,0,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825013\1\CamStation0_Pcs1_PAD15_14032949.jpg,2022/08/30 14:03:29:7080,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD1_14033072.jpg,2022/08/30 14:03:30:9237,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD2_14033191.jpg,2022/08/30 14:03:32:1255,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD3_14033307.jpg,2022/08/30 14:03:33:2684,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD4_14033423.jpg,2022/08/30 14:03:34:4154,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD5_14033540.jpg,2022/08/30 14:03:35:6192,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD6_14033661.jpg,2022/08/30 14:03:36:8090,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD7_14033778.jpg,2022/08/30 14:03:38:0008,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD8_14033900.jpg,2022/08/30 14:03:39:2195,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD9_14034018.jpg,2022/08/30 14:03:40:3715,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD10_14034134.jpg,2022/08/30 14:03:41:5533,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD11_14034253.jpg,2022/08/30 14:03:42:7481,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD12_14034366.jpg,2022/08/30 14:03:43:9130,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD13_14034505.jpg,2022/08/30 14:03:45:2813,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD14_14034627.jpg,2022/08/30 14:03:46:5958,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\2\CamStation0_Pcs2_PAD15_14034761.jpg,2022/08/30 14:03:47:8046,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD1_14034882.jpg,2022/08/30 14:03:49:0243,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD2_14034998.jpg,2022/08/30 14:03:50:2022,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD3_14035116.jpg,2022/08/30 14:03:51:3541,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD4_14035241.jpg,2022/08/30 14:03:52:6107,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD5_14035358.jpg,2022/08/30 14:03:53:8006,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD6_14035478.jpg,2022/08/30 14:03:55:0053,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD7_14035595.jpg,2022/08/30 14:03:56:1583,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD8_14035715.jpg,2022/08/30 14:03:57:3321,0,0,0,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD9_14035829.jpg,2022/08/30 14:03:58:5070,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD10_14035948.jpg,2022/08/30 14:03:59:6988,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD11_14040067.jpg,2022/08/30 14:04:00:8587,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD12_14040184.jpg,2022/08/30 14:04:02:1163,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD13_14040325.jpg,2022/08/30 14:04:03:4867,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD14_14040447.jpg,2022/08/30 14:04:04:7034,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\3\CamStation0_Pcs3_PAD15_14040566.jpg,2022/08/30 14:04:05:8643,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD1_14040691.jpg,2022/08/30 14:04:07:1279,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD2_14040811.jpg,2022/08/30 14:04:08:3138,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD3_14040931.jpg,2022/08/30 14:04:09:5106,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD4_14041050.jpg,2022/08/30 14:04:10:7054,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD5_14041166.jpg,2022/08/30 14:04:11:8553,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD6_14041283.jpg,2022/08/30 14:04:13:0172,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD7_14041399.jpg,2022/08/30 14:04:14:2010,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD8_14041516.jpg,2022/08/30 14:04:15:3689,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD9_14041668.jpg,2022/08/30 14:04:16:8699,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD10_14041784.jpg,2022/08/30 14:04:18:0517,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD11_14041900.jpg,2022/08/30 14:04:19:2036,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD12_14042017.jpg,2022/08/30 14:04:20:4234,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD13_14042155.jpg,2022/08/30 14:04:21:7798,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD14_14042274.jpg,2022/08/30 14:04:22:9676,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\4\CamStation0_Pcs4_PAD15_14042393.jpg,2022/08/30 14:04:24:1504,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD1_14042516.jpg,2022/08/30 14:04:25:3592,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD2_14042637.jpg,2022/08/30 14:04:26:5699,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD3_14042756.jpg,2022/08/30 14:04:27:7578,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD4_14042875.jpg,2022/08/30 14:04:28:9536,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD5_14042993.jpg,2022/08/30 14:04:30:1524,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD6_14043115.jpg,2022/08/30 14:04:31:3811,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD7_14043270.jpg,2022/08/30 14:04:32:9090,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD8_14043389.jpg,2022/08/30 14:04:34:0998,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD9_14043511.jpg,2022/08/30 14:04:35:3595,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD10_14043638.jpg,2022/08/30 14:04:36:5991,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD11_14043760.jpg,2022/08/30 14:04:37:7989,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD12_14043882.jpg,2022/08/30 14:04:39:0695,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD13_14044022.jpg,2022/08/30 14:04:40:4359,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD14_14044157.jpg,2022/08/30 14:04:41:7793,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\5\CamStation0_Pcs5_PAD15_14044285.jpg,2022/08/30 14:04:43:0529,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD1_14044410.jpg,2022/08/30 14:04:44:3076,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD2_14044534.jpg,2022/08/30 14:04:45:5512,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD3_14044655.jpg,2022/08/30 14:04:46:7550,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD4_14044779.jpg,2022/08/30 14:04:48:0067,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD5_14044896.jpg,2022/08/30 14:04:49:1526,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD6_14045017.jpg,2022/08/30 14:04:50:3554,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD7_14045135.jpg,2022/08/30 14:04:51:5612,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD8_14045262.jpg,2022/08/30 14:04:52:8248,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD9_14045385.jpg,2022/08/30 14:04:54:0555,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD10_14045504.jpg,2022/08/30 14:04:55:2493,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD11_14045619.jpg,2022/08/30 14:04:56:3992,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD12_14045731.jpg,2022/08/30 14:04:57:5611,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD13_14045873.jpg,2022/08/30 14:04:58:9295,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD14_14045997.jpg,2022/08/30 14:05:00:1672,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\6\CamStation0_Pcs6_PAD15_14050119.jpg,2022/08/30 14:05:01:4078,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD1_14050246.jpg,2022/08/30 14:05:02:6775,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD2_14050363.jpg,2022/08/30 14:05:03:8553,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD3_14050483.jpg,2022/08/30 14:05:05:0531,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD4_14050597.jpg,2022/08/30 14:05:06:1691,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD5_14050714.jpg,2022/08/30 14:05:07:3530,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD6_14050828.jpg,2022/08/30 14:05:08:5029,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD7_14050943.jpg,2022/08/30 14:05:09:6229,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD8_14051060.jpg,2022/08/30 14:05:10:8077,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD9_14051182.jpg,2022/08/30 14:05:12:0185,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD10_14051298.jpg,2022/08/30 14:05:13:1973,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD11_14051416.jpg,2022/08/30 14:05:14:3473,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD12_14051530.jpg,2022/08/30 14:05:15:5560,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD13_14051667.jpg,2022/08/30 14:05:16:8915,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD14_14051793.jpg,2022/08/30 14:05:18:1730,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\7\CamStation0_Pcs7_PAD15_14051924.jpg,2022/08/30 14:05:19:4496,1,0,1,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825013\8\CamStation0_Pcs8_PAD1_14052044.jpg,2022/08/30 14:05:20:6514,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825013\8\CamStation0_Pcs8_PAD2_14052156.jpg,2022/08/30 14:05:21:7495,1,0,0,0,0,0,0,0,0,0,0,True,True 
