File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot1_08541661.jpg,2022/08/20 08:54:20:6275,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot2_08542435.jpg,2022/08/20 08:54:24:5619,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot3_08542576.jpg,2022/08/20 08:54:26:0101,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot4_08542764.jpg,2022/08/20 08:54:27:8412,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot5_08542887.jpg,2022/08/20 08:54:29:0998,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot6_08543027.jpg,2022/08/20 08:54:30:4861,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot7_08543147.jpg,2022/08/20 08:54:31:6839,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot8_08543266.jpg,2022/08/20 08:54:32:8687,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot9_08543389.jpg,2022/08/20 08:54:34:0954,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot10_08543507.jpg,2022/08/20 08:54:35:2922,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot11_08543625.jpg,2022/08/20 08:54:36:4332,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot12_08543740.jpg,2022/08/20 08:54:37:7786,1,0,0,0,0,0,0,0,11,0,0,True,False 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot13_08543913.jpg,2022/08/20 08:54:39:3633,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot14_08544076.jpg,2022/08/20 08:54:40:9900,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\1\CamStation0_Dut1_Dot15_08544278.jpg,2022/08/20 08:54:42:9866,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot1_08544409.jpg,2022/08/20 08:54:44:2852,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot2_08544527.jpg,2022/08/20 08:54:45:4959,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot3_08544660.jpg,2022/08/20 08:54:46:8154,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot4_08544795.jpg,2022/08/20 08:54:48:1648,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot5_08544971.jpg,2022/08/20 08:54:49:9201,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot6_08545094.jpg,2022/08/20 08:54:51:1368,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot7_08545217.jpg,2022/08/20 08:54:52:3925,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot8_08545383.jpg,2022/08/20 08:54:54:0500,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot9_08545517.jpg,2022/08/20 08:54:55:3865,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot10_08545649.jpg,2022/08/20 08:54:56:6870,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot11_08545768.jpg,2022/08/20 08:54:57:8868,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot12_08545951.jpg,2022/08/20 08:54:59:7548,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot13_08550152.jpg,2022/08/20 08:55:01:7953,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot14_08550300.jpg,2022/08/20 08:55:03:2125,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\2\CamStation0_Dut2_Dot15_08550442.jpg,2022/08/20 08:55:04:6357,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot1_08550566.jpg,2022/08/20 08:55:05:8704,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot2_08550719.jpg,2022/08/20 08:55:07:3963,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot3_08550836.jpg,2022/08/20 08:55:08:5712,1,0,0,0,0,0,0,0,0,1,0,True,False 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot4_08551009.jpg,2022/08/20 08:55:10:2916,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot5_08551153.jpg,2022/08/20 08:55:11:7407,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot6_08551283.jpg,2022/08/20 08:55:13:0422,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot7_08551402.jpg,2022/08/20 08:55:14:2440,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot8_08551536.jpg,2022/08/20 08:55:15:5615,1,0,0,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot9_08551692.jpg,2022/08/20 08:55:17:1423,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot10_08551871.jpg,2022/08/20 08:55:18:9155,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot11_08552009.jpg,2022/08/20 08:55:20:2799,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot12_08552138.jpg,2022/08/20 08:55:21:6392,1,0,0,0,0,0,0,0,0,1,0,True,False 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot13_08552332.jpg,2022/08/20 08:55:23:5152,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot14_08552477.jpg,2022/08/20 08:55:24:9673,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\3\CamStation0_Dut3_Dot15_08552641.jpg,2022/08/20 08:55:26:6229,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot1_08552820.jpg,2022/08/20 08:55:28:3852,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot2_08552983.jpg,2022/08/20 08:55:30:0368,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot3_08553144.jpg,2022/08/20 08:55:31:6644,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot4_08553284.jpg,2022/08/20 08:55:33:0397,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot5_08553413.jpg,2022/08/20 08:55:34:3392,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot6_08553576.jpg,2022/08/20 08:55:35:9649,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot7_08553757.jpg,2022/08/20 08:55:37:7880,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot8_08553895.jpg,2022/08/20 08:55:39:1394,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot9_08554037.jpg,2022/08/20 08:55:40:5656,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot10_08554156.jpg,2022/08/20 08:55:41:7664,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot11_08554297.jpg,2022/08/20 08:55:43:1716,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot12_08554477.jpg,2022/08/20 08:55:45:0346,1,0,0,1,0,0,0,0,1,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot13_08554678.jpg,2022/08/20 08:55:46:9675,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot14_08554803.jpg,2022/08/20 08:55:48:2500,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\4\CamStation0_Dut4_Dot15_08554957.jpg,2022/08/20 08:55:49:7919,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot1_08555145.jpg,2022/08/20 08:55:51:6569,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot2_08555312.jpg,2022/08/20 08:55:53:3434,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot3_08555489.jpg,2022/08/20 08:55:55:1057,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot4_08555672.jpg,2022/08/20 08:55:57:3985,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot5_08555841.jpg,2022/08/20 08:55:58:6382,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot6_08555962.jpg,2022/08/20 08:55:59:8340,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot7_08560094.jpg,2022/08/20 08:56:01:1365,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot8_08560221.jpg,2022/08/20 08:56:02:4241,1,0,0,0,0,0,0,0,12,0,0,True,False 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot9_08560389.jpg,2022/08/20 08:56:04:0886,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot10_08560511.jpg,2022/08/20 08:56:05:3124,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot11_08560674.jpg,2022/08/20 08:56:06:9350,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot12_08560798.jpg,2022/08/20 08:56:08:7252,1,0,0,0,0,0,0,0,0,1,0,True,False 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot13_08561007.jpg,2022/08/20 08:56:10:2921,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot14_08561133.jpg,2022/08/20 08:56:11:5696,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\5\CamStation0_Dut5_Dot15_08561272.jpg,2022/08/20 08:56:12:9719,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819009\6\CamStation0_Dut6_Dot1_08561407.jpg,2022/08/20 08:56:14:2844,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819009\6\CamStation0_Dut6_Dot2_08561531.jpg,2022/08/20 08:56:15:5151,1,0,0,0,0,0,0,0,0,0,0,True,True 
