File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\PAD_AOI文件\测试软件\Debug\TempImage\Test.jpg,2022/08/26 14:53:58:1453,0,0,0,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot1_14583777.jpg,2022/08/26 14:58:37:9728,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot2_14583905.jpg,2022/08/26 14:58:39:2589,1,0,0,0,0,0,0,0,1,0,1,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot3_14584032.jpg,2022/08/26 14:58:40:5499,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot4_14584160.jpg,2022/08/26 14:58:41:8182,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot5_14584290.jpg,2022/08/26 14:58:43:1265,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot6_14584423.jpg,2022/08/26 14:58:44:4460,1,0,0,0,0,0,0,0,1,0,0,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot7_14584550.jpg,2022/08/26 14:58:45:7131,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot8_14584678.jpg,2022/08/26 14:58:47:0069,1,0,0,0,0,0,0,0,3,0,1,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot8_14584678.jpg,2022/08/26 15:00:09:3284,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot9_15025147.jpg,2022/08/26 15:02:51:6838,1,0,0,0,0,0,0,0,1,0,0,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot10_15025278.jpg,2022/08/26 15:02:52:9924,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot11_15025408.jpg,2022/08/26 15:02:54:2998,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot12_15025536.jpg,2022/08/26 15:02:55:6304,1,0,0,0,0,0,0,0,1,0,2,True,False 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot13_15025690.jpg,2022/08/26 15:02:57:1301,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot14_15025829.jpg,2022/08/26 15:02:58:5332,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\1\CamStation0_Dut1_Dot15_15025953.jpg,2022/08/26 15:02:59:7318,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot1_15030081.jpg,2022/08/26 15:03:01:0127,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot2_15030203.jpg,2022/08/26 15:03:02:2312,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot3_15030326.jpg,2022/08/26 15:03:03:4626,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot4_15030446.jpg,2022/08/26 15:03:04:6598,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot5_15030567.jpg,2022/08/26 15:03:05:8723,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot6_15030693.jpg,2022/08/26 15:03:07:1224,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot7_15030817.jpg,2022/08/26 15:03:08:3745,1,0,0,1,0,0,0,0,0,0,0,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot8_15043297.jpg,2022/08/26 15:04:33:1830,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot9_15043428.jpg,2022/08/26 15:04:34:5054,1,0,0,0,0,0,0,0,0,1,1,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot10_15043559.jpg,2022/08/26 15:04:35:8090,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot11_15043690.jpg,2022/08/26 15:04:37:0956,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot12_15043821.jpg,2022/08/26 15:04:38:4967,1,1,0,0,0,0,0,0,0,0,4,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot12_15043821.jpg,2022/08/26 15:05:54:7094,1,1,0,0,0,0,0,0,0,0,4,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot12_15043821.jpg,2022/08/26 15:06:18:6420,1,1,0,0,0,0,0,0,0,0,1,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot12_15043821.jpg,2022/08/26 15:06:30:9978,1,1,0,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot13_15064058.jpg,2022/08/26 15:06:40:8202,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot14_15064192.jpg,2022/08/26 15:06:42:1459,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\2\CamStation0_Dut2_Dot15_15064326.jpg,2022/08/26 15:06:43:4744,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot1_15064462.jpg,2022/08/26 15:06:44:8188,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot2_15064595.jpg,2022/08/26 15:06:46:1509,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot3_15064729.jpg,2022/08/26 15:06:47:4957,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot4_15064852.jpg,2022/08/26 15:06:48:7143,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot5_15064979.jpg,2022/08/26 15:06:49:9969,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot6_15065105.jpg,2022/08/26 15:06:51:2487,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot7_15065230.jpg,2022/08/26 15:06:52:5019,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot8_15065360.jpg,2022/08/26 15:06:53:8001,1,0,0,1,0,0,0,0,1,0,0,True,False 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot9_15065492.jpg,2022/08/26 15:06:55:1162,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot10_15065616.jpg,2022/08/26 15:06:56:3659,1,0,0,0,0,0,0,0,0,1,0,True,False 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot11_15065741.jpg,2022/08/26 15:06:57:6105,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot12_15065871.jpg,2022/08/26 15:06:58:9721,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot13_15070023.jpg,2022/08/26 15:07:00:4709,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot14_15070157.jpg,2022/08/26 15:07:01:7850,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\3\CamStation0_Dut3_Dot15_15070278.jpg,2022/08/26 15:07:02:9978,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot1_15070419.jpg,2022/08/26 15:07:04:3976,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot2_15070549.jpg,2022/08/26 15:07:05:6961,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot3_15070671.jpg,2022/08/26 15:07:06:9102,1,0,0,0,0,0,0,0,1,0,0,True,False 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot4_15070799.jpg,2022/08/26 15:07:08:1984,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot5_15070930.jpg,2022/08/26 15:07:09:4952,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220826\1150825007\4\CamStation0_Dut4_Dot6_15071054.jpg,2022/08/26 15:07:10:7474,1,0,0,0,0,0,0,0,0,0,0,True,True 
