File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot1_09460864.jpg,2022/08/24 09:46:08:9007,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot2_09460988.jpg,2022/08/24 09:46:10:0875,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot3_09461103.jpg,2022/08/24 09:46:11:2364,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot4_09461222.jpg,2022/08/24 09:46:12:4282,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot5_09461342.jpg,2022/08/24 09:46:13:6340,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot6_09461459.jpg,2022/08/24 09:46:14:7859,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot7_09461574.jpg,2022/08/24 09:46:15:9418,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot8_09461691.jpg,2022/08/24 09:46:17:1396,1,0,0,2,0,0,0,0,13,0,0,True,False 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot9_09461809.jpg,2022/08/24 09:46:18:2866,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot10_09461924.jpg,2022/08/24 09:46:19:4335,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot11_09462033.jpg,2022/08/24 09:46:20:5256,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot12_09462161.jpg,2022/08/24 09:46:21:8899,1,1,4,0,0,0,0,0,23,0,0,True,False 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot13_09462287.jpg,2022/08/24 09:46:23:0817,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot14_09462404.jpg,2022/08/24 09:46:24:2436,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\1\CamStation3_Dut1_Dot15_09462519.jpg,2022/08/24 09:46:25:3946,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot1_09462641.jpg,2022/08/24 09:46:26:6312,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot2_09462763.jpg,2022/08/24 09:46:27:8380,1,0,0,0,0,0,0,0,0,1,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot3_09462879.jpg,2022/08/24 09:46:28:9830,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot4_09462993.jpg,2022/08/24 09:46:30:1389,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot5_09463108.jpg,2022/08/24 09:46:31:2858,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot6_09463223.jpg,2022/08/24 09:46:32:4367,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot7_09463339.jpg,2022/08/24 09:46:33:5846,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot8_09463457.jpg,2022/08/24 09:46:34:7894,1,1,0,0,0,0,0,0,19,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot9_09463574.jpg,2022/08/24 09:46:35:9413,1,1,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot10_09463688.jpg,2022/08/24 09:46:37:1212,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot11_09463808.jpg,2022/08/24 09:46:38:2821,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot12_09463938.jpg,2022/08/24 09:46:39:6584,1,0,0,0,0,0,0,0,21,0,0,True,False 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot13_09464064.jpg,2022/08/24 09:46:40:8412,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot14_09464179.jpg,2022/08/24 09:46:42:0041,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\2\CamStation3_Dut2_Dot15_09464298.jpg,2022/08/24 09:46:43:2099,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot1_09464423.jpg,2022/08/24 09:46:44:4296,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot2_09464538.jpg,2022/08/24 09:46:45:5815,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot3_09464653.jpg,2022/08/24 09:46:46:7265,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot4_09464768.jpg,2022/08/24 09:46:47:8764,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot5_09464884.jpg,2022/08/24 09:46:49:0323,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot6_09464999.jpg,2022/08/24 09:46:50:1762,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot7_09465114.jpg,2022/08/24 09:46:51:3262,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot8_09465230.jpg,2022/08/24 09:46:52:4970,1,0,0,0,0,0,0,0,17,0,0,True,False 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot9_09465344.jpg,2022/08/24 09:46:53:6350,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot10_09465460.jpg,2022/08/24 09:46:54:8747,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot11_09465583.jpg,2022/08/24 09:46:56:0455,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot12_09465721.jpg,2022/08/24 09:46:57:4697,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot13_09465846.jpg,2022/08/24 09:46:58:6755,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824002\3\CamStation3_Dut3_Dot14_09465966.jpg,2022/08/24 09:46:59:8524,1,0,0,0,0,0,0,0,0,0,0,True,True 
