File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD1_09071739.jpg,2022/09/01 09:07:17:6850,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD2_09071868.jpg,2022/09/01 09:07:18:9022,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD3_09071983.jpg,2022/09/01 09:07:20:0505,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD4_09072098.jpg,2022/09/01 09:07:21:1934,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD5_09072213.jpg,2022/09/01 09:07:22:3454,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD6_09072328.jpg,2022/09/01 09:07:23:5012,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD7_09072443.jpg,2022/09/01 09:07:24:6467,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD8_09072563.jpg,2022/09/01 09:07:25:8710,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD9_09072678.jpg,2022/09/01 09:07:27:0042,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD10_09072794.jpg,2022/09/01 09:07:28:1489,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD11_09072907.jpg,2022/09/01 09:07:29:2833,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD12_09073029.jpg,2022/09/01 09:07:30:5839,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD13_09073158.jpg,2022/09/01 09:07:31:8184,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD14_09073274.jpg,2022/09/01 09:07:32:9870,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\1\CamStation2_Pcs1_PAD15_09073388.jpg,2022/09/01 09:07:34:1027,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD1_09073508.jpg,2022/09/01 09:07:35:2903,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD2_09073623.jpg,2022/09/01 09:07:36:4456,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD3_09073738.jpg,2022/09/01 09:07:37:5954,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD4_09073853.jpg,2022/09/01 09:07:38:7514,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD5_09073968.jpg,2022/09/01 09:07:39:8947,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD6_09074084.jpg,2022/09/01 09:07:41:0481,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD7_09074199.jpg,2022/09/01 09:07:42:1961,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD8_09074318.jpg,2022/09/01 09:07:43:4070,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD9_09074433.jpg,2022/09/01 09:07:44:5460,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220901\023\2\CamStation2_Pcs2_PAD10_09074548.jpg,2022/09/01 09:07:45:6942,1,0,0,0,0,0,0,0,0,0,0,True,True 
