File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot1_16254345.jpg,2022/08/19 16:25:43:6926,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot2_16254478.jpg,2022/08/19 16:25:44:9921,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot3_16254608.jpg,2022/08/19 16:25:46:3076,1,0,0,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot4_16254738.jpg,2022/08/19 16:25:47:5932,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot5_16254868.jpg,2022/08/19 16:25:48:8867,1,0,0,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot6_16254998.jpg,2022/08/19 16:25:50:1912,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot7_16255129.jpg,2022/08/19 16:25:51:4927,1,0,0,1,0,0,0,0,0,0,1,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot8_16255258.jpg,2022/08/19 16:25:52:7883,1,0,0,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot9_16255389.jpg,2022/08/19 16:25:54:0928,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot10_16255518.jpg,2022/08/19 16:25:55:3923,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot11_16255650.jpg,2022/08/19 16:25:56:6848,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot12_16255790.jpg,2022/08/19 16:25:58:1739,1,0,0,1,0,0,0,0,0,1,1,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot13_16255926.jpg,2022/08/19 16:25:59:4644,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot14_16260055.jpg,2022/08/19 16:26:00:7619,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819004\1\CamStation3_Dut1_Dot15_16260189.jpg,2022/08/19 16:26:02:1053,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819004\2\CamStation3_Dut2_Dot1_16260328.jpg,2022/08/19 16:26:03:4926,1,1,0,1,0,0,0,0,0,1,0,True,False 
D:\Image\20220819\1150819004\2\CamStation3_Dut2_Dot2_16260463.jpg,2022/08/19 16:26:04:8530,1,0,0,0,0,0,0,0,0,0,0,True,True 
