File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD1_14031341.jpg,2022/08/30 14:03:13:6399,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD2_14031462.jpg,2022/08/30 14:03:14:8307,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD3_14031577.jpg,2022/08/30 14:03:15:9797,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD4_14031692.jpg,2022/08/30 14:03:17:1256,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD5_14031807.jpg,2022/08/30 14:03:18:2785,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD6_14031921.jpg,2022/08/30 14:03:19:4304,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD7_14032037.jpg,2022/08/30 14:03:20:5724,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD8_14032153.jpg,2022/08/30 14:03:21:7353,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD9_14032267.jpg,2022/08/30 14:03:22:8792,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD10_14032379.jpg,2022/08/30 14:03:23:9962,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD11_14032494.jpg,2022/08/30 14:03:25:1242,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD12_14032614.jpg,2022/08/30 14:03:26:3649,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD13_14032742.jpg,2022/08/30 14:03:27:6255,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD14_14032872.jpg,2022/08/30 14:03:28:9221,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\1\CamStation2_Pcs1_PAD15_14032991.jpg,2022/08/30 14:03:30:1239,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD1_14033111.jpg,2022/08/30 14:03:31:3416,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD2_14033231.jpg,2022/08/30 14:03:32:5324,1,0,1,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD3_14033346.jpg,2022/08/30 14:03:33:6863,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD4_14033461.jpg,2022/08/30 14:03:34:8412,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD5_14033582.jpg,2022/08/30 14:03:36:0420,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD6_14033702.jpg,2022/08/30 14:03:37:2358,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD7_14033819.jpg,2022/08/30 14:03:38:4127,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD8_14033942.jpg,2022/08/30 14:03:39:6374,1,0,1,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD9_14034056.jpg,2022/08/30 14:03:40:7764,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD10_14034175.jpg,2022/08/30 14:03:41:9582,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD11_14034294.jpg,2022/08/30 14:03:43:1251,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD12_14034414.jpg,2022/08/30 14:03:44:4117,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD13_14034547.jpg,2022/08/30 14:03:45:6922,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD14_14034680.jpg,2022/08/30 14:03:47:0147,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\2\CamStation2_Pcs2_PAD15_14034799.jpg,2022/08/30 14:03:48:2125,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD1_14034922.jpg,2022/08/30 14:03:49:4382,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD2_14035039.jpg,2022/08/30 14:03:50:6111,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD3_14035155.jpg,2022/08/30 14:03:51:7899,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD4_14035282.jpg,2022/08/30 14:03:53:0326,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD5_14035400.jpg,2022/08/30 14:03:54:2154,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD6_14035519.jpg,2022/08/30 14:03:55:4043,1,0,0,0,0,0,0,0,0,1,0,True,False 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD7_14035637.jpg,2022/08/30 14:03:56:5781,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD8_14035752.jpg,2022/08/30 14:03:57:7310,1,0,0,0,0,0,0,0,0,1,0,True,False 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD9_14035872.jpg,2022/08/30 14:03:58:9288,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD10_14035990.jpg,2022/08/30 14:04:00:1067,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD11_14040107.jpg,2022/08/30 14:04:01:2746,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD12_14040235.jpg,2022/08/30 14:04:02:6230,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD13_14040365.jpg,2022/08/30 14:04:03:8916,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD14_14040488.jpg,2022/08/30 14:04:05:0894,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\3\CamStation2_Pcs3_PAD15_14040607.jpg,2022/08/30 14:04:06:2902,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\4\CamStation2_Pcs4_PAD1_14040733.jpg,2022/08/30 14:04:07:5488,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825018\4\CamStation2_Pcs4_PAD2_14040852.jpg,2022/08/30 14:04:08:7376,1,0,0,0,0,0,0,0,0,0,0,True,True 
