File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot1_09460761.jpg,2022/08/24 09:46:08:0340,1,0,0,0,0,0,0,0,7,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot2_09460925.jpg,2022/08/24 09:46:09:4622,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot3_09461041.jpg,2022/08/24 09:46:10:6181,1,0,0,0,0,0,0,0,6,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot4_09461156.jpg,2022/08/24 09:46:11:7730,1,0,0,0,0,0,0,0,3,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot5_09461276.jpg,2022/08/24 09:46:12:9798,1,0,0,0,0,0,0,0,13,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot6_09461397.jpg,2022/08/24 09:46:14:1716,1,0,0,0,0,0,0,0,12,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot7_09461512.jpg,2022/08/24 09:46:15:3115,1,0,2,0,0,0,0,0,6,0,1,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot8_09461627.jpg,2022/08/24 09:46:16:4674,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot9_09461748.jpg,2022/08/24 09:46:17:6732,1,0,1,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot10_09461861.jpg,2022/08/24 09:46:18:8162,1,0,0,1,0,0,0,0,5,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot11_09461976.jpg,2022/08/24 09:46:19:9441,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot12_09462087.jpg,2022/08/24 09:46:21:1220,1,1,0,2,0,0,0,0,10,0,0,True,False 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot13_09462224.jpg,2022/08/24 09:46:22:4534,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot14_09462341.jpg,2022/08/24 09:46:23:6243,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824003\1\CamStation0_Dut1_Dot15_09462458.jpg,2022/08/24 09:46:24:7722,1,0,0,0,0,0,0,0,7,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot1_09462577.jpg,2022/08/24 09:46:25:9720,1,0,0,0,0,0,0,0,12,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot2_09462697.jpg,2022/08/24 09:46:27:1728,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot3_09462818.jpg,2022/08/24 09:46:28:3656,1,0,0,0,0,0,0,0,7,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot4_09462932.jpg,2022/08/24 09:46:29:5195,1,0,0,0,0,0,0,0,5,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot5_09463048.jpg,2022/08/24 09:46:30:6654,1,0,0,0,0,0,0,0,4,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot6_09463162.jpg,2022/08/24 09:46:31:8194,1,0,0,0,0,0,0,0,8,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot7_09463277.jpg,2022/08/24 09:46:32:9663,1,0,0,0,0,0,0,0,5,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot8_09463392.jpg,2022/08/24 09:46:34:1242,1,0,0,0,0,0,0,0,18,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot9_09463514.jpg,2022/08/24 09:46:35:3389,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot10_09463628.jpg,2022/08/24 09:46:36:4889,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot11_09463746.jpg,2022/08/24 09:46:37:6607,1,0,0,0,0,0,0,0,4,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot12_09463862.jpg,2022/08/24 09:46:38:8655,1,0,2,0,0,0,0,0,10,0,0,True,False 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot13_09464000.jpg,2022/08/24 09:46:40:2358,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot14_09464118.jpg,2022/08/24 09:46:41:3808,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824003\2\CamStation0_Dut2_Dot15_09464235.jpg,2022/08/24 09:46:42:5656,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824003\3\CamStation0_Dut3_Dot1_09464360.jpg,2022/08/24 09:46:43:8133,1,1,0,0,0,0,0,0,7,0,0,True,False 
D:\Image\20220824\1150824003\3\CamStation0_Dut3_Dot2_09464479.jpg,2022/08/24 09:46:44:9861,1,0,0,0,0,0,0,0,11,0,0,True,False 
D:\Image\20220824\1150824003\3\CamStation0_Dut3_Dot3_09464592.jpg,2022/08/24 09:46:46:1101,1,0,0,0,0,0,0,0,4,0,0,True,False 
D:\Image\20220824\1150824003\3\CamStation0_Dut3_Dot4_09464707.jpg,2022/08/24 09:46:47:2571,1,0,0,0,0,0,0,0,3,0,0,True,False 
