File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot1_09460835.jpg,2022/08/24 09:46:08:6374,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot2_09460966.jpg,2022/08/24 09:46:09:8811,1,0,0,0,0,0,0,0,3,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot3_09461083.jpg,2022/08/24 09:46:11:0300,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot4_09461199.jpg,2022/08/24 09:46:12:2178,1,0,1,0,0,0,0,0,9,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot5_09461320.jpg,2022/08/24 09:46:13:4176,1,1,0,0,0,0,0,0,7,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot6_09461439.jpg,2022/08/24 09:46:14:5885,1,0,0,1,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot7_09461553.jpg,2022/08/24 09:46:15:7414,1,0,1,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot8_09461670.jpg,2022/08/24 09:46:16:9152,1,0,2,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot9_09461789.jpg,2022/08/24 09:46:18:0931,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot10_09461903.jpg,2022/08/24 09:46:19:2420,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot11_09462015.jpg,2022/08/24 09:46:20:3351,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot12_09462134.jpg,2022/08/24 09:46:21:6047,1,0,15,0,0,0,0,0,11,0,1,True,False 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot13_09462265.jpg,2022/08/24 09:46:22:8733,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot14_09462382.jpg,2022/08/24 09:46:24:0392,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220824\1150824001\1\CamStation2_Dut1_Dot15_09462498.jpg,2022/08/24 09:46:25:1891,1,0,0,0,0,0,0,0,2,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot1_09462619.jpg,2022/08/24 09:46:26:4148,1,0,0,0,0,0,0,0,3,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot2_09462741.jpg,2022/08/24 09:46:27:6356,1,0,0,0,0,0,0,0,5,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot3_09462859.jpg,2022/08/24 09:46:28:7885,1,0,0,0,0,0,0,0,11,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot4_09462974.jpg,2022/08/24 09:46:29:9284,1,1,5,0,0,0,0,0,3,0,1,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot5_09463088.jpg,2022/08/24 09:46:31:0833,1,0,7,0,0,0,0,0,6,0,1,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot6_09463203.jpg,2022/08/24 09:46:32:2263,1,0,1,0,0,0,0,0,1,0,1,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot7_09463319.jpg,2022/08/24 09:46:33:3882,1,0,0,0,0,0,0,0,4,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot8_09463434.jpg,2022/08/24 09:46:34:5720,1,0,0,0,0,0,0,0,3,0,1,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot9_09463553.jpg,2022/08/24 09:46:35:7389,1,0,0,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220824\1150824001\2\CamStation2_Dut2_Dot10_09463668.jpg,2022/08/24 09:46:36:8868,1,0,0,0,0,0,0,0,1,0,0,True,False 
