File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot1_08542335.jpg,2022/08/20 08:54:23:6883,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot2_08542478.jpg,2022/08/20 08:54:25:0416,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot3_08542624.jpg,2022/08/20 08:54:26:4618,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot4_08542806.jpg,2022/08/20 08:54:28:2810,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot5_08542930.jpg,2022/08/20 08:54:29:5087,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot6_08543069.jpg,2022/08/20 08:54:30:9089,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot7_08543189.jpg,2022/08/20 08:54:32:1028,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot8_08543309.jpg,2022/08/20 08:54:33:3145,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot9_08543429.jpg,2022/08/20 08:54:34:5013,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot10_08543549.jpg,2022/08/20 08:54:35:7091,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot11_08543663.jpg,2022/08/20 08:54:36:8511,1,0,0,1,0,0,0,0,0,1,1,True,False 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot12_08543803.jpg,2022/08/20 08:54:38:3500,1,0,0,0,0,0,0,0,22,0,0,True,False 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot13_08543958.jpg,2022/08/20 08:54:39:8799,1,0,0,0,0,0,0,1,0,0,0,True,False 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot14_08544121.jpg,2022/08/20 08:54:41:5016,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\1\CamStation2_Dut1_Dot15_08544319.jpg,2022/08/20 08:54:43:4125,1,0,0,0,0,0,0,0,17,0,1,True,False 
D:\Image\20220820\1150819011\2\CamStation2_Dut2_Dot1_08544451.jpg,2022/08/20 08:54:44:7270,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\2\CamStation2_Dut2_Dot2_08544569.jpg,2022/08/20 08:54:45:9018,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\2\CamStation2_Dut2_Dot3_08544704.jpg,2022/08/20 08:54:47:2851,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819011\2\CamStation2_Dut2_Dot4_08544837.jpg,2022/08/20 08:54:48:5807,1,0,0,0,0,0,0,0,0,0,0,True,True 
