File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot1_16254321.jpg,2022/08/19 16:25:43:4133,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot2_16254454.jpg,2022/08/19 16:25:44:7458,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot3_16254584.jpg,2022/08/19 16:25:46:0433,1,1,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot4_16254714.jpg,2022/08/19 16:25:47:3458,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot5_16254845.jpg,2022/08/19 16:25:48:6483,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot6_16254974.jpg,2022/08/19 16:25:49:9439,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot7_16255105.jpg,2022/08/19 16:25:51:2584,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot8_16255234.jpg,2022/08/19 16:25:52:5469,1,0,4,0,0,0,0,0,1,0,0,True,False 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot9_16255365.jpg,2022/08/19 16:25:53:8524,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot10_16255494.jpg,2022/08/19 16:25:55:1460,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot11_16255624.jpg,2022/08/19 16:25:56:4594,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot12_16255761.jpg,2022/08/19 16:25:57:8657,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot13_16255902.jpg,2022/08/19 16:25:59:2240,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot14_16260032.jpg,2022/08/19 16:26:00:5186,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\1\CamStation2_Dut1_Dot15_16260165.jpg,2022/08/19 16:26:01:8570,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot1_16260304.jpg,2022/08/19 16:26:03:2443,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot2_16260439.jpg,2022/08/19 16:26:04:5907,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot3_16260574.jpg,2022/08/19 16:26:05:9391,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot4_16260704.jpg,2022/08/19 16:26:07:2436,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot5_16260835.jpg,2022/08/19 16:26:08:5381,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot6_16260969.jpg,2022/08/19 16:26:09:8965,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot7_16261099.jpg,2022/08/19 16:26:11:1860,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot8_16261234.jpg,2022/08/19 16:26:12:5454,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot9_16261379.jpg,2022/08/19 16:26:13:9975,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot10_16261509.jpg,2022/08/19 16:26:15:3020,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot11_16261639.jpg,2022/08/19 16:26:16:5876,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot12_16261785.jpg,2022/08/19 16:26:18:0726,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot13_16261928.jpg,2022/08/19 16:26:19:4669,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot14_16262057.jpg,2022/08/19 16:26:20:7684,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\2\CamStation2_Dut2_Dot15_16262189.jpg,2022/08/19 16:26:22:0869,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot1_16262330.jpg,2022/08/19 16:26:23:5350,1,0,1,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot2_16262470.jpg,2022/08/19 16:26:24:9323,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot3_16262605.jpg,2022/08/19 16:26:26:2617,0,0,0,0,0,0,0,0,0,0,0,True,False 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot4_16262734.jpg,2022/08/19 16:26:27:5413,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot5_16262869.jpg,2022/08/19 16:26:28:8967,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220819\1150819003\3\CamStation2_Dut3_Dot6_16263004.jpg,2022/08/19 16:26:30:2450,1,0,0,0,0,0,0,0,0,1,0,True,False 
