File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD1_09465981.jpg,2022/08/31 09:47:00:0701,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD2_09470112.jpg,2022/08/31 09:47:01:3140,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD3_09470230.jpg,2022/08/31 09:47:02:5079,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD4_09470344.jpg,2022/08/31 09:47:03:6616,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD5_09470459.jpg,2022/08/31 09:47:04:8093,1,1,1,0,0,0,0,0,2,0,0,True,False 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD6_09470579.jpg,2022/08/31 09:47:06:0050,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD7_09470697.jpg,2022/08/31 09:47:07:1627,1,0,0,0,0,0,0,0,0,1,0,True,False 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD8_09470810.jpg,2022/08/31 09:47:08:3074,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD9_09470932.jpg,2022/08/31 09:47:09:5090,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD10_09471044.jpg,2022/08/31 09:47:10:6576,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD11_09471161.jpg,2022/08/31 09:47:11:8077,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD12_09471281.jpg,2022/08/31 09:47:13:0293,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD13_09471415.jpg,2022/08/31 09:47:14:3641,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD14_09471592.jpg,2022/08/31 09:47:16:1139,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\1\CamStation1_Pcs1_PAD15_09471711.jpg,2022/08/31 09:47:17:2997,1,0,0,0,0,0,1,0,0,0,0,True,False 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD1_09471831.jpg,2022/08/31 09:47:18:5074,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD2_09471946.jpg,2022/08/31 09:47:19:6601,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD3_09472061.jpg,2022/08/31 09:47:20:8081,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD4_09472177.jpg,2022/08/31 09:47:21:9619,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD5_09472291.jpg,2022/08/31 09:47:23:1090,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD6_09472409.jpg,2022/08/31 09:47:24:3125,1,2,0,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD7_09472526.jpg,2022/08/31 09:47:25:4583,1,0,0,0,0,0,0,0,0,1,0,True,False 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD8_09472642.jpg,2022/08/31 09:47:26:6117,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD9_09472759.jpg,2022/08/31 09:47:27:8039,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD10_09472876.jpg,2022/08/31 09:47:28:9567,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD11_09472990.jpg,2022/08/31 09:47:30:1046,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD12_09473112.jpg,2022/08/31 09:47:31:3193,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD13_09473240.jpg,2022/08/31 09:47:32:6100,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD14_09473368.jpg,2022/08/31 09:47:33:8861,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\2\CamStation1_Pcs2_PAD15_09473486.jpg,2022/08/31 09:47:35:0559,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\3\CamStation1_Pcs3_PAD1_09473605.jpg,2022/08/31 09:47:36:2675,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220831\1150825016\3\CamStation1_Pcs3_PAD2_09473721.jpg,2022/08/31 09:47:37:4107,1,0,0,0,0,0,0,0,0,0,0,True,True 
