File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\CamStation1\PCBAOI现场图\006\NG\黄金色\CamStation1_Pcs22_PAD9_15165516.jpg,2022/09/13 13:24:52:7287,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\CamStation1\PCBAOI现场图\006\NG\黄金色\CamStation1_Pcs3_PAD1_15091485.jpg,2022/09/13 13:25:24:7555,1,0,3,0,0,0,0,0,1,0,1,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs10_PAD11_14364973.jpg,2022/09/13 14:15:58:1174,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs10_PAD1_14363634.jpg,2022/09/13 14:15:58:2235,1,0,0,0,0,0,0,0,0,0,1,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs10_PAD4_14364037.jpg,2022/09/13 14:15:58:3416,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs10_PAD5_14364171.jpg,2022/09/13 14:15:58:4599,1,0,0,0,0,0,1,0,0,1,1,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs10_PAD9_14364704.jpg,2022/09/13 14:15:58:6089,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD10_14370916.jpg,2022/09/13 14:15:58:7126,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD11_14371051.jpg,2022/09/13 14:15:58:7964,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD12_14371191.jpg,2022/09/13 14:15:58:9616,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD4_14370091.jpg,2022/09/13 14:15:59:0683,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD7_14370502.jpg,2022/09/13 14:15:59:1435,0,0,0,0,0,0,0,0,0,0,0,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs11_PAD9_14370779.jpg,2022/09/13 14:15:59:2800,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs12_PAD10_14372996.jpg,2022/09/13 14:15:59:3677,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs12_PAD12_14373273.jpg,2022/09/13 14:15:59:4897,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs12_PAD3_14372039.jpg,2022/09/13 14:15:59:5770,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs12_PAD8_14372728.jpg,2022/09/13 14:15:59:6913,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs13_PAD6_14374527.jpg,2022/09/13 14:15:59:7887,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs13_PAD7_14374666.jpg,2022/09/13 14:15:59:8844,1,0,0,0,0,0,0,1,0,0,0,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs13_PAD9_14374941.jpg,2022/09/13 14:16:00:0350,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs14_PAD12_14381492.jpg,2022/09/13 14:16:00:1425,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs15_PAD11_14383490.jpg,2022/09/13 14:16:00:2301,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs17_PAD1_14395524.jpg,2022/09/13 14:16:00:3565,1,0,0,0,0,0,0,1,0,0,0,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs19_PAD4_14404336.jpg,2022/09/13 14:16:00:4884,1,0,0,0,0,0,0,1,0,0,0,True,False 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs1_PAD12_14250636.jpg,2022/09/13 14:16:00:6236,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs1_PAD15_14251026.jpg,2022/09/13 14:16:00:7073,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\CamStation1\PCBAOI现场图\002\NG\黄金色\CamStation1_Pcs1_PAD1_14245332.jpg,2022/09/13 14:16:00:8064,1,0,0,0,0,0,0,0,0,0,0,True,True 
