File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot1_08542369.jpg,2022/08/20 08:54:24:0104,1,0,0,0,0,0,0,0,0,1,1,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot2_08542504.jpg,2022/08/20 08:54:25:4296,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot3_08542646.jpg,2022/08/20 08:54:27:3156,1,0,0,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot4_08542830.jpg,2022/08/20 08:54:28:5283,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot5_08542951.jpg,2022/08/20 08:54:29:9326,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot6_08543091.jpg,2022/08/20 08:54:31:1453,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot7_08543210.jpg,2022/08/20 08:54:32:3291,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot8_08543331.jpg,2022/08/20 08:54:33:5648,1,0,1,0,0,0,0,0,0,0,1,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot9_08543450.jpg,2022/08/20 08:54:34:7357,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot10_08543571.jpg,2022/08/20 08:54:35:9185,1,0,0,0,0,0,0,0,0,0,0,True,True 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot11_08543685.jpg,2022/08/20 08:54:37:0625,1,0,0,1,0,0,0,0,0,0,0,True,False 
D:\Image\20220820\1150819012\1\CamStation3_Dut1_Dot12_08543836.jpg,2022/08/20 08:54:38:7879,1,0,0,1,0,0,0,0,0,0,0,True,False 
